time/total_timesteps,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,time/iterations,train/clip_range,train/policy_gradient_loss,train/explained_variance,train/learning_rate,train/approx_kl,train/n_updates,train/clip_fraction,train/value_loss,train/loss,train/entropy_loss
2048,0,31.84375,-1.3715625,2135,1,,,,,,,,,,
4096,2,35.01,-0.5361,1539,2,0.2,-0.004591974226059392,-0.01252448558807373,0.0003,0.00848281,10,0.016943359375,4.789576941728592,2.540590763092041,-1.383419120311737
6144,4,39.87,-0.6007000000000001,1422,3,0.2,-0.004107939539244399,0.05555659532546997,0.0003,0.0068174964,20,0.015771484375,10.742266631126403,4.988687515258789,-1.3691300213336945
8192,5,44.91,-1.1721,1383,4,0.2,-0.008484338363632559,0.05580645799636841,0.0003,0.011543861,30,0.080224609375,6.049573266506195,2.5470738410949707,-1.3343121021986009
10240,7,48.08,-0.8068000000000001,1366,5,0.2,-0.0026078938972204924,0.09130781888961792,0.0003,0.0020712907,40,0.001220703125,5.865005886554718,3.21612548828125,-1.3214684307575226
12288,9,51.23,-0.11629999999999985,1345,6,0.2,-0.006858752251719125,0.1797969937324524,0.0003,0.0051889126,50,0.029296875,6.080134451389313,3.2700953483581543,-1.3229302138090133
14336,10,55.18,-0.06580000000000005,1342,7,0.2,-0.004509231616975739,0.23167294263839722,0.0003,0.007584092,60,0.02421875,4.6549081921577455,2.185436487197876,-1.302001640200615
16384,12,59.2,0.902,1305,8,0.2,-0.004547457722947001,0.113078773021698,0.0003,0.006440834,70,0.013134765625,9.126248025894165,3.847689151763916,-1.287052619457245
18432,14,60.77,1.6413,1305,9,0.2,-0.004350781656103209,0.211994469165802,0.0003,0.0045987866,80,0.00224609375,7.937716948986053,3.5511701107025146,-1.2753498941659926
20480,15,62.43,0.9497,1302,10,0.2,-0.00270486562512815,0.05657678842544556,0.0003,0.0021613182,90,0.0,11.645223593711853,5.40084981918335,-1.268905484676361
22528,17,63.82,0.5858000000000001,1279,11,0.2,-0.004781432822346688,0.388674259185791,0.0003,0.01071625,100,0.032373046875,4.162916606664657,1.5670230388641357,-1.2615514308214189
24576,19,60.38,0.3712000000000002,1284,12,0.2,-0.00466703693382442,0.19212639331817627,0.0003,0.00599199,110,0.01025390625,6.373587417602539,3.100001811981201,-1.2585110187530517
26624,20,60.79,0.6391,1272,13,0.2,-0.006641491735354066,0.25262880325317383,0.0003,0.00556372,120,0.030126953125,7.3068931102752686,3.0992417335510254,-1.231504824757576
28672,22,61.27,1.5613,1281,14,0.2,-0.004832814849214629,0.2289753556251526,0.0003,0.004890904,130,0.0119140625,7.216152000427246,3.337158441543579,-1.2233269095420838
30720,23,64.6,1.7120000000000002,1289,15,0.2,-0.005526703264331445,0.19697874784469604,0.0003,0.008601904,140,0.047021484375,9.877108454704285,4.927156925201416,-1.2267600178718567
32768,25,64.86,2.0934,1294,16,0.2,-0.004492555756587535,0.25243955850601196,0.0003,0.0058130496,150,0.0080078125,6.323213601112366,3.342954158782959,-1.211760053038597
